"Country,Other",Continent,TotalCases,NewCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,New Cases/1M pop,Active Cases/1M pop
Iraq,Asia,2301590,945.0,24975.0,2241001.0,35614.0,144.0,55174.0,599.0,17960033.0,430540.0,41715102.0,23.0,854.0
Bangladesh,Asia,1942680,864.0,29033.0,1806689.0,106958.0,1275.0,11605.0,173.0,13376734.0,79907.0,167404719.0,5.0,639.0
Serbia,Europe,1908272,2130.0,15199.0,1790931.0,102142.0,110.0,219869.0,1751.0,8740109.0,1007028.0,8679112.0,245.0,11769.0
Hungary,Europe,1779174,-1.0,43752.0,1566509.0,168913.0,148.0,184950.0,4548.0,10733913.0,1115821.0,9619745.0,-1.0,17559.0
Jordan,Asia,1623474,6296.0,13814.0,1518754.0,90906.0,786.0,156543.0,1332.0,16246059.0,1566525.0,10370763.0,607.0,8766.0
Georgia,Asia,1603007,4835.0,16138.0,1491321.0,95548.0,-1.0,403121.0,4058.0,15866586.0,3990097.0,3976491.0,1216.0,24028.0
Pakistan,Asia,1508504,847.0,30173.0,1441528.0,36803.0,1113.0,6617.0,132.0,26393595.0,115768.0,227986680.0,4.0,161.0
Slovakia,Europe,1442194,8264.0,18453.0,1222708.0,201033.0,235.0,263944.0,3377.0,6371850.0,1166147.0,5464020.0,1512.0,36792.0
Kazakhstan,Asia,1302059,351.0,13592.0,1266669.0,21798.0,528.0,67998.0,710.0,11575012.0,604491.0,19148361.0,18.0,1138.0
Ireland,Europe,1292212,-1.0,6475.0,1163170.0,122567.0,48.0,256949.0,1288.0,11317728.0,2250465.0,5029061.0,-1.0,24372.0
Norway,Europe,1231766,5900.0,1598.0,88952.0,1141216.0,21.0,224308.0,291.0,9852076.0,1794092.0,5491401.0,1074.0,207819.0
Morocco,Africa,1160892,142.0,15978.0,1140157.0,4757.0,293.0,30846.0,425.0,11237010.0,298583.0,37634516.0,4.0,126.0
Bulgaria,Europe,1088520,724.0,35482.0,834344.0,218694.0,503.0,158633.0,5171.0,9165927.0,1335779.0,6861859.0,106.0,31871.0
Cuba,NorthAmerica,1069387,630.0,8494.0,1058160.0,2733.0,34.0,94509.0,751.0,12920253.0,1141852.0,11315172.0,56.0,242.0
Lebanon,Asia,1066840,1533.0,10079.0,682977.0,373784.0,186.0,157471.0,1488.0,4795578.0,707850.0,6774848.0,226.0,55172.0
Croatia,Europe,1054596,1028.0,15030.0,1025051.0,14515.0,106.0,259538.0,3699.0,4512457.0,1110524.0,4063359.0,253.0,3572.0
Tunisia,Africa,997754,666.0,27773.0,947817.0,22164.0,222.0,82985.0,2310.0,4341110.0,361059.0,12023273.0,55.0,1843.0
Nepal,Asia,976865,94.0,11935.0,956413.0,8517.0,100.0,32558.0,398.0,5416391.0,180524.0,30003688.0,3.0,284.0
Belarus,Europe,917468,4135.0,6470.0,906043.0,4955.0,-1.0,97146.0,685.0,12427770.0,1315919.0,9444178.0,438.0,525.0
Lithuania,Europe,900631,3436.0,8413.0,806472.0,85746.0,93.0,338658.0,3163.0,7741924.0,2911138.0,2659415.0,1292.0,32242.0
Bolivia,SouthAmerica,893223,175.0,21426.0,787320.0,84477.0,220.0,74831.0,1795.0,2669468.0,223639.0,11936484.0,15.0,7077.0
Slovenia,Europe,891950,901.0,6292.0,841948.0,43710.0,108.0,428944.0,3026.0,2569468.0,1235671.0,2079411.0,433.0,21020.0
UAE,Asia,879368,622.0,2301.0,832470.0,44597.0,-1.0,87168.0,228.0,137349003.0,13614896.0,10088142.0,62.0,4421.0
Uruguay,SouthAmerica,840511,2170.0,6977.0,809798.0,23736.0,122.0,240582.0,1997.0,5698831.0,1631194.0,3493657.0,621.0,6794.0
Ecuador,SouthAmerica,827760,-1.0,35223.0,-1.0,-1.0,759.0,45767.0,1947.0,2470170.0,136577.0,18086299.0,-1.0,19277.0
CostaRica,NorthAmerica,802472,-1.0,7999.0,659607.0,134866.0,129.0,155184.0,1547.0,3635922.0,703123.0,5171103.0,-1.0,26081.0
Azerbaijan,Asia,785301,1041.0,9400.0,764283.0,11618.0,-1.0,76314.0,913.0,6551104.0,636621.0,10290425.0,101.0,1129.0
Guatemala,NorthAmerica,776262,-1.0,16961.0,714146.0,45155.0,5.0,42042.0,919.0,3922624.0,212450.0,18463756.0,-1.0,2446.0
Panama,NorthAmerica,755262,357.0,8079.0,740813.0,6370.0,27.0,170598.0,1825.0,5513584.0,1245406.0,4427139.0,81.0,1439.0
SaudiArabia,Asia,744374,632.0,8996.0,722468.0,12910.0,609.0,20844.0,252.0,40641112.0,1138060.0,35710863.0,18.0,362.0
Singapore,Asia,710880,14228.0,1007.0,650359.0,59514.0,46.0,119950.0,170.0,23141120.0,3904690.0,5926493.0,2401.0,10042.0
Latvia,Europe,649504,5427.0,5230.0,513598.0,130676.0,76.0,350765.0,2824.0,6703408.0,3620178.0,1851679.0,2931.0,70572.0
SriLanka,Asia,645037,977.0,16190.0,608719.0,20128.0,-1.0,29916.0,751.0,6282076.0,291351.0,21561862.0,45.0,934.0
Paraguay,SouthAmerica,641321,769.0,18359.0,608474.0,14488.0,151.0,88124.0,2523.0,2526622.0,347182.0,7277515.0,106.0,1991.0
Finland,Europe,637729,-1.0,2364.0,46000.0,589365.0,39.0,114803.0,426.0,9903704.0,1782855.0,5554968.0,-1.0,106097.0
Kuwait,Asia,619310,607.0,2537.0,606657.0,10116.0,62.0,141554.0,580.0,7626573.0,1743191.0,4375065.0,139.0,2312.0
Myanmar,Asia,586198,1959.0,19365.0,533395.0,33438.0,-1.0,10656.0,352.0,7100472.0,129068.0,55013516.0,36.0,608.0
Palestine,Asia,575372,590.0,5216.0,553022.0,17134.0,104.0,108612.0,985.0,3078533.0,581128.0,5297513.0,111.0,3234.0
DominicanRepublic,NorthAmerica,574071,-1.0,4368.0,568031.0,1672.0,40.0,52056.0,396.0,3103088.0,281384.0,11027938.0,-1.0,152.0
Venezuela,SouthAmerica,514795,480.0,5633.0,502418.0,6744.0,230.0,18189.0,199.0,3359014.0,118682.0,28302567.0,17.0,238.0
Bahrain,Asia,512306,2916.0,1453.0,485005.0,25848.0,14.0,284724.0,808.0,9385851.0,5216370.0,1799307.0,1621.0,14366.0
Moldova,Europe,501312,500.0,11213.0,475918.0,14181.0,77.0,124753.0,2790.0,3009636.0,748956.0,4018443.0,124.0,3529.0
Libya,Africa,493548,1394.0,6250.0,461102.0,26196.0,128.0,70247.0,890.0,2419533.0,344374.0,7025895.0,198.0,3728.0
Estonia,Europe,492149,4197.0,2225.0,366927.0,122997.0,27.0,370591.0,1675.0,3096210.0,2331462.0,1328012.0,3160.0,92617.0
Egypt,Africa,482248,1521.0,24040.0,412161.0,46047.0,122.0,4570.0,228.0,3693367.0,34999.0,105526991.0,14.0,436.0
Ethiopia,Africa,468674,49.0,7460.0,416704.0,44510.0,86.0,3916.0,62.0,4501473.0,37615.0,119672008.0,0.4,372.0
Mongolia,Asia,464045,320.0,2168.0,313256.0,148621.0,192.0,137878.0,644.0,4030048.0,1197413.0,3365629.0,95.0,44158.0
Armenia,Asia,419693,270.0,8449.0,400840.0,10404.0,-1.0,141196.0,2842.0,2891784.0,972875.0,2972411.0,91.0,3500.0
Honduras,NorthAmerica,411212,-1.0,10720.0,127663.0,272829.0,105.0,40453.0,1055.0,1263329.0,124280.0,10165223.0,-1.0,26839.0
