"Country,Other",Continent,TotalCases,NewCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,New Cases/1M pop,Active Cases/1M pop
Greenland,NorthAmerica,11715,-1.0,16.0,2761.0,8938.0,9.0,205768.0,281.0,164926.0,2896844.0,56933.0,-1.0,156992.0
Bermuda,NorthAmerica,11490,-1.0,123.0,11150.0,217.0,-1.0,185631.0,1987.0,795082.0,12845243.0,61897.0,-1.0,3506.0
Dominica,NorthAmerica,11016,-1.0,57.0,10563.0,396.0,-1.0,152403.0,789.0,165338.0,2287402.0,72282.0,-1.0,5479.0
SaintMartin,NorthAmerica,9877,-1.0,63.0,1399.0,8415.0,7.0,248434.0,1585.0,78366.0,1971125.0,39757.0,-1.0,211661.0
Eritrea,Africa,9700,-1.0,103.0,9593.0,4.0,-1.0,2674.0,28.0,23693.0,6531.0,3627634.0,-1.0,1.0
SintMaarten,NorthAmerica,9548,-1.0,85.0,9420.0,43.0,10.0,218585.0,1946.0,62056.0,1420663.0,43681.0,-1.0,984.0
Monaco,Europe,9377,2.0,51.0,9140.0,186.0,4.0,236185.0,1285.0,54960.0,1384313.0,39702.0,50.0,4685.0
Niger,Africa,8751,5.0,307.0,8432.0,12.0,1.0,341.0,12.0,228471.0,8906.0,25654408.0,0.2,0.5
Comoros,Africa,8033,1.0,160.0,7855.0,18.0,-1.0,8923.0,178.0,-1.0,-1.0,900236.0,1.0,20.0
Guinea-Bissau,Africa,8001,16.0,167.0,6978.0,856.0,6.0,3913.0,82.0,123632.0,60458.0,2044914.0,8.0,419.0
SierraLeone,Africa,7665,-1.0,125.0,-1.0,-1.0,-1.0,930.0,15.0,259958.0,31528.0,8245280.0,-1.0,331.0
CaribbeanNetherlands,NorthAmerica,7564,-1.0,31.0,7444.0,89.0,-1.0,284083.0,1164.0,30126.0,1131450.0,26626.0,-1.0,3343.0
AntiguaandBarbuda,NorthAmerica,7437,-1.0,135.0,7253.0,49.0,1.0,74916.0,1360.0,18901.0,190398.0,99271.0,-1.0,494.0
Liberia,Africa,7360,-1.0,290.0,5747.0,1323.0,2.0,1401.0,55.0,139824.0,26612.0,5254248.0,-1.0,252.0
Chad,Africa,7246,-1.0,190.0,4874.0,2182.0,-1.0,421.0,11.0,191341.0,11121.0,17204990.0,-1.0,127.0
SolomonIslands,Australia/Oceania,6937,124.0,96.0,1732.0,5109.0,4.0,9706.0,134.0,5117.0,7159.0,714735.0,173.0,7148.0
St.VincentGrenadines,NorthAmerica,6739,-1.0,106.0,6591.0,42.0,-1.0,60427.0,950.0,98160.0,880177.0,111523.0,-1.0,377.0
BritishVirginIslands,NorthAmerica,6074,-1.0,62.0,-1.0,-1.0,6.0,198731.0,2029.0,99936.0,3269729.0,30564.0,-1.0,3043.0
SaoTomeandPrincipe,Africa,5934,1.0,72.0,5852.0,10.0,-1.0,26269.0,319.0,29036.0,128540.0,225891.0,4.0,44.0
TurksandCaicos,NorthAmerica,5867,7.0,36.0,5787.0,44.0,4.0,148216.0,909.0,419792.0,10605093.0,39584.0,177.0,1112.0
SaintKittsandNevis,NorthAmerica,5530,-1.0,42.0,5480.0,8.0,1.0,102746.0,780.0,65141.0,1210304.0,53822.0,-1.0,149.0
St.Barth,NorthAmerica,3758,-1.0,6.0,-1.0,-1.0,-1.0,378564.0,604.0,56491.0,5690642.0,9927.0,-1.0,331419.0
Palau,Australia/Oceania,3726,-1.0,6.0,2942.0,778.0,10.0,204310.0,329.0,36384.0,1995065.0,18237.0,-1.0,42661.0
Kiribati,Australia/Oceania,2914,10.0,11.0,2051.0,852.0,4.0,23791.0,90.0,-1.0,-1.0,122481.0,82.0,6956.0
Anguilla,NorthAmerica,2528,-1.0,9.0,2506.0,13.0,4.0,166043.0,591.0,51382.0,3374844.0,15225.0,-1.0,854.0
SaintPierreMiquelon,NorthAmerica,1070,-1.0,1.0,1049.0,20.0,1.0,186184.0,174.0,17358.0,3020358.0,5747.0,-1.0,3480.0
WallisandFutuna,Australia/Oceania,454,-1.0,7.0,438.0,9.0,-1.0,41602.0,641.0,20508.0,1879227.0,10913.0,-1.0,825.0
Tonga,Australia/Oceania,355,-1.0,-1.0,177.0,178.0,-1.0,3297.0,-1.0,-1.0,-1.0,107677.0,-1.0,1653.0
Montserrat,NorthAmerica,163,-1.0,2.0,161.0,0.0,-1.0,32620.0,400.0,7796.0,1560136.0,4997.0,-1.0,-1.0
FalklandIslands,SouthAmerica,109,-1.0,-1.0,-1.0,-1.0,-1.0,29888.0,-1.0,8632.0,2366877.0,3647.0,-1.0,6581.0
Macao,Asia,81,1.0,-1.0,79.0,2.0,-1.0,122.0,-1.0,5318.0,8009.0,663981.0,2.0,3.0
Samoa,Australia/Oceania,33,-1.0,-1.0,3.0,30.0,-1.0,165.0,-1.0,-1.0,-1.0,200596.0,-1.0,150.0
VaticanCity,Europe,29,-1.0,-1.0,28.0,1.0,-1.0,36070.0,-1.0,-1.0,-1.0,804.0,-1.0,1244.0
CookIslands,Australia/Oceania,25,15.0,-1.0,4.0,21.0,-1.0,1421.0,-1.0,1309.0,74413.0,17591.0,853.0,1194.0
Vanuatu,Australia/Oceania,18,-1.0,1.0,6.0,11.0,-1.0,56.0,3.0,23000.0,72097.0,319013.0,-1.0,34.0
WesternSahara,Africa,10,-1.0,1.0,8.0,1.0,-1.0,16.0,2.0,-1.0,-1.0,621622.0,-1.0,2.0
MarshallIslands,Australia/Oceania,7,-1.0,-1.0,7.0,0.0,-1.0,117.0,-1.0,-1.0,-1.0,59851.0,-1.0,-1.0
SaintHelena,Africa,2,-1.0,-1.0,2.0,0.0,-1.0,327.0,-1.0,-1.0,-1.0,6107.0,-1.0,-1.0
Micronesia,Australia/Oceania,1,-1.0,-1.0,1.0,0.0,-1.0,9.0,-1.0,-1.0,-1.0,117018.0,-1.0,-1.0
